net,length_um
_203_,205.645
_202_,182.96
_122_,153.23
clknet_0_clk,150.495
net31,142.04
genblk1\[30\].csa.hsum2,138.86
_165_,126.455
net32,125.62
_099_,123.36
_088_,118.31
net30,113.775
_098_,113.35
_201_,112.71
genblk1\[18\].csa.y,111.76
_097_,110.72
_154_,108.69
genblk1\[20\].csa.y,107.49
_205_,107.475
genblk1\[23\].csa.y,102.6
net25,101.41
genblk1\[4\].csa.y,98.755
genblk1\[15\].csa.y,97
_133_,91.37
_199_,91.1
_092_,90.29
_023_,90.23
_204_,90.105
genblk1\[15\].csa.hsum2,87.94
genblk1\[26\].csa.y,87.885
genblk1\[30\].csa.sc,87.22
_200_,85.445
net27,85.36
genblk1\[24\].csa.y,83.435
genblk1\[16\].csa.y,83.155
net12,79.77
csa0.sc,79.375
_019_,78.75
_001_,78.695
genblk1\[19\].csa.hsum2,78.58
genblk1\[10\].csa.sc,78.575
net13,76.52
_095_,75.76
genblk1\[21\].csa.hsum2,75.62
clknet_3_7__leaf_clk,74.66
net7,74.075
genblk1\[16\].csa.sc,73.695
genblk1\[6\].csa.y,73.075
net29,72.99
net33,72.905
net28,72.58
genblk1\[5\].csa.hsum2,72.535
genblk1\[27\].csa.sc,72.38
_016_,71.88
_094_,71.77
genblk1\[12\].csa.sc,71.32
genblk1\[22\].csa.y,71.075
genblk1\[24\].csa.hsum2,71.045
genblk1\[12\].csa.hsum2,70.215
genblk1\[1\].csa.y,70.075
clknet_3_3__leaf_clk,69.665
net6,69.18
clknet_3_4__leaf_clk,69.02
_079_,68.25
genblk1\[17\].csa.hsum2,67.675
genblk1\[25\].csa.hsum2,67.355
genblk1\[29\].csa.y,67.265
clknet_3_0__leaf_clk,66.585
net3,65.515
net15,65.48
genblk1\[24\].csa.sc,65.22
genblk1\[15\].csa.sc,65.085
genblk1\[13\].csa.sc,64.72
genblk1\[23\].csa.hsum2,64.3
_007_,64.15
clknet_3_1__leaf_clk,63.93
genblk1\[9\].csa.hsum2,63.39
_065_,63.32
genblk1\[23\].csa.sc,62.735
_072_,62.43
genblk1\[16\].csa.hsum2,62.32
genblk1\[27\].csa.hsum2,61.88
net11,61.445
genblk1\[13\].csa.y,61.055
genblk1\[17\].csa.sc,60.655
_082_,60.65
genblk1\[18\].csa.hsum2,60.62
_000_,60.195
net9,60.16
genblk1\[18\].csa.sc,59.595
genblk1\[1\].csa.sc,58.835
_093_,58.765
genblk1\[19\].csa.sc,58.62
genblk1\[25\].csa.sc,58.555
clknet_3_2__leaf_clk,58.505
_035_,58.1
net10,57.79
genblk1\[14\].csa.y,57.635
genblk1\[5\].csa.y,57.27
_080_,56.92
net4,56.335
genblk1\[8\].csa.hsum2,55.3
net8,54.57
genblk1\[17\].csa.y,54.515
_087_,54.23
net2,53.655
_003_,53.575
net24,53.52
_008_,53.22
_036_,53.18
genblk1\[14\].csa.sc,52.74
_075_,52.67
genblk1\[2\].csa.y,52.6
genblk1\[4\].csa.sc,52.02
_006_,51.92
csa0.y,51.24
genblk1\[20\].csa.sc,50.955
genblk1\[19\].csa.y,49.815
_031_,49.59
_076_,49.515
_077_,49.24
genblk1\[10\].csa.sum,48.98
genblk1\[11\].csa.y,48.935
_073_,47.885
net16,47.59
net14,47.185
_048_,46.73
